Water_Supply_Scheme,Sample_Code,EC,pH,Turbidity,TDS,Alkalinity,HCO3,CO3,Cl,SO4,Ca,Mg,Hardness,Na,K,NO3_N,PO_{4},F,Fe,As
Dhuman,P/CHA/CHA/53/C/1,6610.0,7.37,6.8,3966.0,4.0,200,23.57196261682243,1180.0,411.0,300.0,182.0,1500.0,692.0,4.6,240.0,0.05,0.09,0.5,0.05
,P/CHA/CHA/53/C/2,6830.0,7.15,38.0,6414.0,4.2,210,23.57196261682243,1817.0,1319.0,1200.0,145.0,360.0,690.0,6.1,270.0,0.06,0.08,0.78,0.06
Soccian,P/CHA/CHA/54/S/1,1280.0,7.97,2.5,768.0,7.6,380,23.57196261682243,108.0,126.0,40.0,28.0,215.0,206.0,2.3,2.0,0.07,0.8,0.32,0.18
,P/CHA/CHA/54/C/1,1290.0,8.2,0.61,774.0,7.5,375,23.57196261682243,106.0,130.0,38.0,32.0,225.0,200.0,2.6,2.0,0.07,0.83,0.45,0.45
,P/CHA/CHA/54/C/2,1272.0,8.24,1.9,763.0,7.4,370,23.57196261682243,106.0,122.0,40.0,29.0,220.0,203.0,1.8,2.0,0.09,0.82,0.04,0.21
"Jand Khan
Zada",P/CHA/CHA/55/S/1,1516.0,7.91,1.25,909.0,7.2,360,23.57196261682243,182.0,147.0,40.0,34.0,240.0,247.0,3.8,3.0,0.07,0.61,0.08,0.95
,P/CHA/CHA/55/C/1,1498.0,8.29,1.63,899.0,7.5,375,23.57196261682243,175.0,141.0,38.0,35.0,240.0,245.0,3.4,2.0,0.06,0.63,0.05,0.22
,P/CHA/CHA/55/C/2,1499.0,8.17,1.13,899.0,7.4,370,23.57196261682243,175.0,141.0,38.0,33.0,230.0,245.0,3.4,2.0,0.05,0.62,0.32,1.02
Pindi Gujran,P/CHA/CHA/56/S/1,1311.0,7.72,2.48,787.0,7.7,385,23.57196261682243,146.0,91.0,44.0,28.0,225.0,210.0,3.7,2.0,0.04,0.46,0.15,0.74
,P/CHA/CHA/56/C/1,1307.0,7.9,0.97,784.0,7.6,380,23.57196261682243,150.0,94.0,40.0,29.0,220.0,207.0,4.1,2.0,0.07,0.47,0.07,0.52
,P/CHA/CHA/56/C/2,1306.0,7.27,1.07,784.0,7.7,385,23.57196261682243,744.0,90.0,40.0,32.0,230.0,205.0,3.9,3.0,0.07,0.47,0.08,0.64
Nachundi,P/CHA/CHA/57/C/1,1842.0,7.74,0.21,1105.0,8.9,445,23.57196261682243,239.0,134.0,36.0,27.0,200.0,336.0,2.4,7.0,0.13,0.56,0.03,0.42
,P/CHA/CHA/57/C/2,989.0,8.1,1.46,593.0,7.2,360,23.57196261682243,45.0,36.0,28.0,19.0,150.0,164.0,2.4,17.0,0.09,0.36,1.96,0.87
Ghazial,P/CHA/CHA/58/C/1,1175.0,7.26,0.69,705.0,7.0,350,23.57196261682243,80.0,93.0,65.0,12.0,210.0,203.0,0.8,10.0,0.07,0.35,0.03,0.18
,P/CHA/CHA/58/C/2,945.0,7.61,0.26,520.0,8.0,400,23.57196261682243,24.0,38.0,64.0,39.0,320.0,90.0,1.0,4.0,0.06,0.41,0.07,0.22
Phutaki,P/CHA/CHA/59/C/1,990.0,7.99,12.7,545.0,7.8,390,23.57196261682243,53.0,25.0,56.0,29.0,260.0,128.0,1.9,2.0,0.04,0.37,0.05,0.02
,P/CHA/CHA/59/C/2,1435.0,7.65,1.21,861.0,8.0,400,23.57196261682243,209.0,53.0,48.0,32.0,250.0,239.0,3.3,2.0,0.07,0.47,0.74,0.01
Jur,P/CHA/CHA/60/S/1,1001.0,8.44,1.59,601.0,8.4,420,23.57196261682243,62.0,45.0,16.0,32.0,170.0,162.0,0.9,3.0,0.09,1.1,0.05,0.41
,P/CHA/CHA/60/C/1,1075.0,8.26,1.27,645.0,8.6,430,23.57196261682243,59.0,47.0,24.0,34.0,200.0,178.0,1.1,3.0,0.07,1.06,0.04,0.45
,P/CHA/CHA/60/C/2,1040.0,8.07,0.69,624.0,8.5,425,23.57196261682243,60.0,47.0,40.0,24.0,200.0,170.0,0.9,2.0,0.09,1.08,0.1,0.25
Dhodha,P/CHA/CHA/61/C/1,1220.0,8.22,1.47,732.0,8.8,440,23.57196261682243,54.0,120.0,22.0,15.0,115.0,235.0,1.3,4.567280442804428,0.07,1.89,0.18,0.4
,P/CHA/CHA/61/C/2,1190.0,8.08,0.69,714.0,8.7,435,23.57196261682243,40.0,123.0,20.0,17.0,120.0,230.0,1.5,4.567280442804428,0.06,1.87,0.35,2.33
"Chak Baqer
Shan",P/CHA/CHA/62/S/1,912.0,7.63,0.64,547.0,7.6,380,23.57196261682243,47.0,43.0,50.0,15.0,185.0,142.0,2.0,1.0,0.1,0.1,0.04,0.35
,P/CHA/CHA/62/C/1,891.0,7.91,0.23,535.0,7.2,360,23.57196261682243,47.0,50.0,44.0,18.0,185.0,138.0,2.6,2.0,0.07,0.1,0.04,0.34
,P/CHA/CHA/62/C/2,886.0,7.9,0.27,532.0,7.1,355,23.57196261682243,47.0,50.0,40.0,21.0,185.0,140.0,2.4,2.0,0.06,0.11,0.05,0.16
Rabal,P/CHA/CHA/63/S/1,761.0,7.72,0.21,457.0,6.2,310,23.57196261682243,35.0,29.0,40.0,22.0,190.0,102.0,1.7,6.0,0.07,0.32,0.07,0.38
,P/CHA/CHA/63/S/2,788.0,7.87,0.31,473.0,6.3,315,23.57196261682243,39.0,27.0,40.0,24.0,200.0,104.0,2.0,7.0,0.1,0.31,0.06,0.6
,P/CHA/CHA/63/C/1,790.0,7.96,0.64,474.0,6.4,320,23.57196261682243,38.0,31.0,38.0,24.0,195.0,104.0,2.0,7.0,0.11,0.32,0.01,0.46
,P/CHA/CHA/63/C/2,783.0,7.88,0.79,470.0,6.3,315,23.57196261682243,38.0,30.0,40.0,24.0,200.0,104.0,1.9,7.0,0.09,0.33,0.07,0.44
Tatral,P/CHA/CHA/64/S/1,1210.0,7.9,0.98,726.0,7.0,350,23.57196261682243,130.0,77.0,68.0,60.0,415.0,106.0,5.3,9.0,0.07,0.36,0.02,0.37
,P/CHA/CHA/64/S/2,1205.0,7.61,0.89,723.0,7.0,350,23.57196261682243,133.0,79.0,68.0,61.0,420.0,102.0,5.4,8.0,0.06,0.36,0.15,0.41
,P/CHA/CHA/64/C/1,1208.0,8.25,0.12,725.0,7.2,360,23.57196261682243,129.0,80.0,70.0,60.0,420.0,109.0,4.0,7.0,0.09,0.37,0.37,0.49
,P/CHA/CHA/64/C/2,1203.0,8.17,1.39,722.0,7.0,350,23.57196261682243,127.0,84.0,72.0,57.0,415.0,104.0,6.1,9.0,0.13,0.36,0.15,0.5
,P/CHA/CHA/65/C/1,706.0,7.72,0.21,424.0,5.0,250,23.57196261682243,67.0,41.0,68.0,24.0,270.0,55.0,1.6,1.0,0.06,0.2,0.1,0.0
,P/CHA/CHA/65/C/2,705.0,7.95,0.38,423.0,5.0,250,23.57196261682243,71.0,43.0,65.0,26.0,270.0,51.0,1.7,1.0,0.05,0.22,0.12,0.09
Dhoke Talian,P/CHA/CHA/66/C/1,5460.0,7.28,0.91,3276.0,9.3,465,23.57196261682243,1042.0,370.0,600.0,44.0,1680.0,383.0,38.8,110.0,0.04,0.52,1.4,0.36
,P/CHA/CHA/66/C/2,1650.0,8.86,0.32,990.0,6.5,325,23.57196261682243,274.0,150.0,10.0,13.0,80.0,342.0,1.7,4.567280442804428,0.07,0.65,0.22,0.67
Said Pur,P/CHA/CHA/67/S/1,1040.0,7.76,0.16,624.0,6.8,340,23.57196261682243,65.0,129.0,48.0,44.0,300.0,122.0,3.0,2.0,0.03,0.61,0.01,0.43
,P/CHA/CHA/67/C/1,1108.0,7.91,0.86,665.0,7.1,355,23.57196261682243,61.0,132.0,48.0,40.0,285.0,141.0,4.3,2.0,0.07,0.6,0.07,0.0
,P/CHA/CHA/67/C/2,1102.0,7.8,0.54,661.0,7.0,350,23.57196261682243,61.0,136.0,52.0,38.0,285.0,143.0,5.0,2.0,0.1,0.6,0.11,0.0
"Dhoke Nara
Chauntrain",P/CHA/CHA/68/C/1,1984.0,7.95,0.09,1190.0,9.4,470,23.57196261682243,197.0,229.0,44.0,58.0,350.0,301.0,2.2,10.0,0.13,1.15,0.34,0.5
,P/CHA/CHA/68/C/2,3520.0,7.72,2.12,2112.0,11.9,595,23.57196261682243,580.0,323.0,104.0,58.0,500.0,600.0,2.7,16.0,0.09,1.15,0.38,0.0
,P/CHA/CHA/69/C/2,1211.0,7.73,2.72,727.0,7.8,390,23.57196261682243,70.0,111.0,40.0,33.0,235.0,186.0,2.3,14.0,0.1,0.67,0.9,0.63
Dhoke Wali,P/CHA/CHA/70/S/1,1290.0,8.08,2.18,774.0,6.4,320,23.57196261682243,132.0,159.0,28.0,32.0,200.0,206.0,2.6,4.567280442804428,0.13,0.67,0.21,0.34
,P/CHA/CHA/70/C/1,1278.0,7.81,0.63,767.0,6.2,310,23.57196261682243,124.0,153.0,32.0,29.0,200.0,210.0,2.4,1.0,0.07,0.33,0.29,0.24
,P/CHA/CHA/70/C/2,1294.0,7.96,0.39,776.0,6.3,315,23.57196261682243,117.0,170.0,32.0,29.0,200.0,206.0,2.7,4.567280442804428,0.06,0.34,0.57,0.36
Langha,P/CHA/CHA/71/C/1,870.0,7.76,2.26,479.0,8.3,415,23.57196261682243,19.0,17.0,44.0,39.0,270.0,95.0,2.1,3.0,0.09,0.32,0.39,0.0
,P/CHA/CHA/71/C/2,2810.0,7.79,0.0,1686.0,15.0,750,23.57196261682243,370.0,240.0,200.0,112.0,960.0,270.0,6.8,5.0,0.07,0.56,0.28,0.24
Jahtal,P/CHA/CHA/73/S/1,1678.0,7.83,0.16,1002.0,9.5,475,23.57196261682243,170.0,142.0,48.0,44.0,300.0,260.0,1.9,4.0,0.07,0.84,0.12,0.24
,P/CHA/CHA/73/C/1,1701.0,8.09,1.18,1021.0,9.4,470,23.57196261682243,175.0,147.0,56.0,41.0,310.0,266.0,2.9,4.0,0.04,0.85,0.19,0.38
,P/CHA/CHA/73/C/2,1652.0,7.89,1.02,991.0,9.4,470,23.57196261682243,168.0,139.0,46.0,42.0,390.0,262.0,2.0,4.0,0.05,0.3,0.13,0.02
Mangwal,P/CHA/CHA/74/S/1,1380.0,8.08,0.36,828.0,9.6,480,23.57196261682243,96.0,98.0,44.0,29.0,230.0,240.0,1.9,6.0,0.06,0.3,0.14,0.1
,P/CHA/CHA/74/C/1,1416.0,8.13,0.48,850.0,9.9,495,23.57196261682243,94.0,101.0,46.0,30.0,240.0,243.0,3.3,6.0,0.04,0.29,0.59,1.0
,P/CHA/CHA/74/C/2,1388.0,8.05,0.37,833.0,9.6,480,23.57196261682243,94.0,90.0,41.0,31.0,230.0,240.0,2.5,6.0,0.02,0.31,0.09,0.05
Jamal Wal,P/CHA/CHA/75/C/1,1343.0,8.29,1.78,806.0,7.2,360,23.57196261682243,90.0,150.0,24.0,22.0,150.0,250.0,2.7,14.0,0.03,0.3,0.18,0.0
,P/CHA/CHA/75/C/2,1430.0,7.89,0.22,858.0,7.0,350,23.57196261682243,128.0,157.0,40.0,19.0,180.0,251.0,2.7,7.0,0.07,0.48,0.12,0.0
Khanwal,P/CHA/CHA/76/C/1,1137.0,8.19,4.88,682.0,9.9,495,23.57196261682243,44.0,35.0,8.0,12.0,70.0,250.0,1.3,2.0,0.04,0.46,0.07,0.05
,P/CHA/CHA/76/C/2,7059.0,8.06,8.65,635.0,8.3,415,23.57196261682243,64.0,27.0,14.0,11.0,80.0,218.0,2.0,9.0,0.05,0.49,0.03,0.0
,P/CHA/CHA/77/C/2,851.0,7.89,1.94,468.0,8.6,430,23.57196261682243,18.0,12.0,40.0,24.0,200.0,118.0,3.0,4.567280442804428,0.1,0.57,0.37,0.0
Haraj,P/CHA/CHA/78/C/1,910.0,8.27,17.4,500.0,8.0,400,23.57196261682243,20.0,12.0,12.0,15.0,90.0,170.0,0.8,3.0,0.07,0.4,2.62,1.26
,P/CHA/CHA/78/C/2,1296.0,8.12,0.55,16.0,10.2,510,23.57196261682243,75.0,27.0,16.0,7.0,70.0,272.0,1.3,4.0,0.06,0.34,0.15,0.0
BekhariKhurd,P/CHA/CHA/79/S/1,1398.0,7.79,0.75,44.0,8.2,410,23.57196261682243,154.0,124.0,44.0,34.0,250.0,214.0,1.9,4.0,0.07,0.34,0.18,0.0
,P/CHA/CHA/79/C/2,1413.0,7.86,0.22,842.0,7.6,380,23.57196261682243,160.0,114.0,60.0,49.0,350.0,180.0,1.2,4.0,0.04,0.32,0.24,1.0
Chakwal,P/CHA/CHA/80/S/1,1404.0,7.82,0.39,852.0,8.4,420,23.57196261682243,144.0,109.0,46.0,33.0,250.0,225.0,2.8,1.0,0.05,0.36,0.13,2.89
,P/CHA/CHA/80/S/2,1426.0,7.85,0.21,856.0,8.5,425,23.57196261682243,142.0,112.0,38.0,35.0,240.0,226.0,2.8,5.0,0.07,0.46,0.41,2.41
,P/CHA/CHA/80/S/3,1436.0,8.26,0.91,970.0,9.1,455,23.57196261682243,172.0,128.0,38.0,26.0,200.0,310.0,2.0,5.0,0.06,3.23,0.61,2.87
,P/CHA/CHA/80/S/4,965.0,7.7,0.82,542.0,7.8,390,23.57196261682243,31.0,97.0,88.0,56.0,450.0,40.0,3.7,1.0,0.04,1.89,0.57,0.24
,P/CHA/CHA/80/C/1,985.0,7.92,8.65,468.0,6.0,300,23.57196261682243,31.0,82.0,60.0,27.0,260.0,80.0,3.4,1.0,0.07,1.92,0.27,2.56
,P/CHA/CHA/80/C/2,850.0,7.95,9.9,445.0,6.3,315,23.57196261682243,28.0,64.0,52.0,29.0,250.0,80.0,3.2,1.0,0.06,0.35,0.07,1.0
Thaniel Kamal,P/CHA/CHA/81/C/1,1597.0,8.09,3.26,87.0,10.0,500,23.57196261682243,83.0,179.0,20.0,12.0,100.0,340.0,2.1,7.0,0.05,0.63,0.27,0.0
,P/CHA/CHA/81/C/2,2270.0,8.01,0.01,1362.0,10.8,540,23.57196261682243,171.0,271.0,24.0,27.0,170.0,340.0,3.2,20.0,0.04,0.15,0.22,0.0
"Mankera
Scheme
No 1",P/BK/MNK/01/S/1,1414.0,8.04,2.6,852.0,6.34,317,23.57196261682243,143.0,215.0,28.0,36.0,220.0,225.0,19.0,7.4,0.11,1.08,0.16,2.179
,P/BK/MNK/01/C/1,1421.0,8.15,3.1,860.0,6.34,317,23.57196261682243,147.0,219.0,24.0,39.0,220.0,225.0,20.0,7.5,0.13,1.1,0.22,3.756
,P/BK/MNK/01/C/2,1423.0,8.14,5.1,840.0,6.46,323,23.57196261682243,156.0,186.0,24.0,27.0,170.0,238.0,20.0,7.4,0.14,1.14,0.26,2.281
"Mankera
Scheme
No 2",P/BK/MNK/02/S/1,1270.0,8.36,0.9,738.0,5.94,287,10.0,128.0,180.0,20.0,24.0,150.0,217.0,7.0,2.5,0.02,1.77,0.06,3.736
,P/BK/MNK/02/C/1,1268.0,8.41,2.2,756.0,6.06,293,10.0,128.0,183.0,20.0,22.0,140.0,230.0,7.0,2.5,0.05,1.79,0.09,3.123
,P/BK/MNK/02/C/2,1447.0,8.36,2.2,847.0,6.9,335,10.0,140.0,192.0,20.0,34.0,190.0,240.0,13.0,7.2,0.04,1.96,0.12,3.198
Mahni,P/BK/MNK/04/C/1,1554.0,7.84,9.5,939.0,5.36,268,23.57196261682243,196.0,227.0,48.0,36.0,270.0,215.0,31.0,11.8,0.01,2.2,0.42,2.801
,P/BK/MNK/04/C/2,1870.0,7.59,15.0,1134.0,6.58,329,23.57196261682243,214.0,202.0,56.0,39.0,300.0,215.0,112.0,30.0,0.01,1.44,0.49,1.728
"Gohar
Wala",P/BK/MNK/05/C/1,1834.0,7.82,1.3,1081.0,3.9,195,23.57196261682243,221.0,201.0,80.0,65.0,470.0,182.0,14.0,50.0,0.02,0.83,0.52,0.914
Hatu,P/BK/KK/01/C/1,1242.0,7.97,1.6,685.0,6.1,305,23.57196261682243,104.0,179.0,20.0,44.0,230.0,166.0,9.0,3.0,0.1,0.35,0.02,2.155
,P/BK/KK/01/C/2,1195.0,7.83,2.3,701.0,6.82,341,23.57196261682243,71.0,185.0,50.0,25.0,230.0,168.0,8.0,5.4,0.16,2.3,0.03,3.612
"Abbaseen
Wala",P/BK/KK/02/C/1,1052.0,7.5,8.6,602.0,9.4,470,23.57196261682243,51.0,77.0,42.0,25.0,210.0,146.0,10.0,4.2,0.1,1.6,0.19,1.797
,P/BK/KK/02/C/2,1431.0,7.69,90.0,824.0,8.78,439,23.57196261682243,113.0,152.0,68.0,67.0,445.0,135.0,10.0,14.0,0.11,1.19,0.21,0.933
Jandan Wala,P/BK/KK/03/C/1,1685.0,7.93,1.0,1002.0,3.54,177,23.57196261682243,234.0,350.0,58.0,51.0,350.0,210.0,7.0,1.3,0.06,0.72,1.12,3.207
,P/BK/KK/03/C/2,2398.0,7.53,80.0,1454.0,4.38,219,23.57196261682243,303.0,486.0,128.0,78.0,640.0,252.0,18.0,18.0,0.09,1.24,0.56,0.415
Mebal Sharif,P/BK/KK/04/C/1,812.0,7.96,2.1,484.0,6.46,323,23.57196261682243,42.0,130.0,44.0,27.0,220.0,85.0,8.0,7.4,0.03,1.35,0.02,7.32
,P/BK/KK/04/C/2,383.0,8.14,1.6,212.0,2.92,146,23.57196261682243,10.0,19.0,32.0,7.0,110.0,32.0,3.0,8.0,0.02,1.46,0.09,4.64
1&2,P/BK/KK/05/S/1,726.0,7.92,2.0,420.0,3.9,195,23.57196261682243,83.0,94.0,50.0,25.0,230.0,66.0,6.0,0.08,0.02,0.29,0.06,9.022
,P/BK/KK/05/S/2,886.0,7.76,3.6,510.0,5.36,268,23.57196261682243,60.0,130.0,60.0,14.0,210.0,105.0,8.0,0.2,0.02,0.31,0.06,9.631
,P/BK/KK/05/C/1,936.0,7.78,4.2,530.0,5.6,280,23.57196261682243,76.0,129.0,48.0,27.0,230.0,102.0,9.0,0.1,0.03,0.35,0.19,7.27
,P/BK/KK/05/C/2,743.0,8.02,3.7,429.0,3.78,189,23.57196261682243,86.0,99.0,48.0,27.0,230.0,69.0,6.0,0.1,0.05,0.24,0.22,9.47
"Housing
Colony 1& 2",P/BK/KK/06/S/1,677.0,7.95,1.6,387.0,4.14,207,23.57196261682243,53.0,93.0,46.0,20.0,200.0,66.0,6.0,0.3,0.04,0.29,0.02,9.456
,P/BK/KK/06/C/1,680.0,8.02,5.9,394.0,4.14,207,23.57196261682243,53.0,98.0,50.0,20.0,210.0,64.0,6.0,0.2,0.05,0.29,0.06,10.59
,P/BK/KK/06/C/2,682.0,8.01,5.1,397.0,4.14,207,23.57196261682243,53.0,103.0,50.0,20.0,210.0,62.0,6.0,0.2,0.06,0.35,0.08,11.54
"UC No.4 &
5 (Darya
Khan)",P/BK/DRN/01/S/1,507.0,7.78,30.0,294.0,4.88,244,23.57196261682243,26.0,42.0,39.0,27.0,210.0,34.0,5.0,0.2,0.01,0.24,0.07,14.26
,P/BK/DRN/01/C/1,540.0,7.87,10.2,316.0,4.64,232,23.57196261682243,30.0,64.0,40.0,29.0,220.0,34.0,5.0,0.1,0.02,0.26,0.1,14.06
,P/BK/DRN/01/C/2,568.0,7.73,9.8,324.0,4.64,232,23.57196261682243,30.0,69.0,40.0,31.0,230.0,34.0,5.0,0.4,0.02,0.28,0.16,14.44
"Angra
Dager",P/BK/DRN/02/C/1,644.0,7.91,2.0,378.0,3.9,195,23.57196261682243,42.0,88.0,36.0,31.0,220.0,39.0,23.0,5.0,0.03,0.91,0.19,7.58
,P/BK/DRN/02/C/2,1034.0,7.96,3.9,629.0,5.36,268,23.57196261682243,62.0,123.0,56.0,34.0,280.0,65.0,72.0,19.0,0.03,1.56,0.12,5.141
,P/BK/DRN/03/C/1,493.0,8.02,2.2,290.0,3.9,195,23.57196261682243,35.0,55.0,40.0,22.0,190.0,36.0,5.0,0.2,0.01,0.24,0.06,15.97
,P/BK/DRN/03/C/2,496.0,8.0,101.0,297.0,3.9,195,23.57196261682243,35.0,60.0,40.0,22.0,190.0,38.0,5.0,0.2,0.02,0.27,0.06,16.42
Dulla Wala,P/BK/DRN/04/C/1,1488.0,7.56,2.9,922.0,4.64,232,23.57196261682243,174.0,191.0,72.0,27.0,290.0,138.0,112.0,21.0,0.06,1.53,0.02,2.483
,P/BK/DRN/04/C/2,1127.0,8.03,2.0,683.0,3.42,171,23.57196261682243,131.0,223.0,44.0,34.0,250.0,143.0,8.0,3.5,0.05,0.52,0.07,3.48
Godola,P/BK/BK/01/S/1,582.0,7.76,3.2,321.0,4.2,210,23.57196261682243,31.0,81.0,50.0,28.0,240.0,24.0,5.0,0.5,0.02,0.41,0.03,16.93
,P/BK/BK/01/S/2,703.0,7.72,4.12,402.0,5.12,256,23.57196261682243,41.0,94.0,70.0,28.0,290.0,32.0,9.0,0.2,0.02,0.45,0.06,8.328
,P/BK/BK/01/C/1,644.0,8.03,3.1,381.0,4.88,244,23.57196261682243,37.0,92.0,64.0,27.0,270.0,33.0,6.0,0.4,0.04,0.44,0.05,11.65
,P/BK/BK/01/C/2,780.0,7.73,3.4,434.0,5.6,280,23.57196261682243,46.0,96.0,70.0,28.0,290.0,46.0,7.0,0.5,0.05,0.5,0.04,1.896
"Jamil
Stadium",P/BK/BK/02/S/1,768.0,7.78,2.6,440.0,5.36,268,23.57196261682243,41.0,107.0,52.0,39.0,290.0,40.0,19.0,2.5,0.05,0.45,0.02,1.708
,P/BK/BK/02/C/1,780.0,7.75,4.2,446.0,5.6,280,23.57196261682243,43.0,102.0,52.0,39.0,290.0,40.0,20.0,2.5,0.06,0.5,0.04,1.62
,P/BK/BK/02/C/2,777.0,8.12,7.0,450.0,45.12,2256,23.57196261682243,53.0,110.0,52.0,36.0,280.0,42.0,21.0,2.6,0.07,0.54,0.06,1.649
Mandi Town,P/BK/BK/03/S/1,834.0,7.68,1.7,474.0,6.1,305,23.57196261682243,44.0,110.0,60.0,34.0,290.0,63.0,9.0,0.8,0.02,0.35,0.08,26.7
,P/BK/BK/03/C/1,846.0,7.38,1.9,489.0,6.34,317,23.57196261682243,41.0,120.0,62.0,35.0,300.0,64.0,9.0,0.7,0.03,0.37,0.09,22.38
,P/BK/BK/03/C/2,866.0,7.67,2.0,510.0,6.34,317,23.57196261682243,42.0,134.0,64.0,34.0,300.0,66.0,9.0,1.4,0.03,0.35,0.11,24.7
"Housing
Scheme",P/BK/BK/04/S/1,694.0,7.7,9.8,390.0,5.0,250,23.57196261682243,37.0,98.0,52.0,36.0,280.0,37.0,6.0,0.2,0.02,0.25,0.04,40.96
,P/BK/BK/04/S/2,708.0,8.1,10.2,407.0,5.12,256,23.57196261682243,35.0,110.0,52.0,39.0,290.0,37.0,7.0,0.19,0.02,0.34,0.08,36.92
,P/BK/BK/04/C/1,679.0,8.09,4.2,394.0,5.12,256,23.57196261682243,33.0,100.0,54.0,35.0,280.0,38.0,7.0,0.24,0.02,0.36,0.09,55.37
,P/BK/BK/04/C/2,668.0,8.1,3.2,396.0,4.76,238,23.57196261682243,33.0,112.0,54.0,35.0,280.0,37.0,7.0,0.3,0.05,0.3,0.1,34.68
G Type,P/BK/BK/05/S/1,641.0,7.99,4.2,391.0,4.14,207,23.57196261682243,39.0,95.0,52.0,27.0,240.0,38.0,5.0,0.5,0.09,0.31,0.01,37.18
,P/BK/BK/05/C/1,647.0,7.97,3.1,371.0,4.38,219,23.57196261682243,35.0,101.0,52.0,29.0,250.0,39.0,6.0,0.3,0.1,0.18,0.02,35.28
,P/BK/BK/05/C/2,649.0,7.95,2.6,378.0,4.38,219,23.57196261682243,39.0,103.0,52.0,29.0,250.0,40.0,6.0,0.25,0.11,0.21,0.05,33.82
Darya Khan,P/BK/BK/06/S/1,600.0,7.66,3.09,330.0,5.86,293,23.57196261682243,23.0,43.0,40.0,41.0,270.0,23.0,8.0,1.7,0.16,0.48,0.1,12.63
,P/BK/BK/06/S/2,644.0,7.75,3.4,356.0,5.86,293,23.57196261682243,24.0,59.0,50.0,35.0,270.0,31.0,6.0,1.8,0.09,0.35,0.13,37.18
,P/BK/BK/06/C/1,605.0,7.97,6.4,333.0,5.86,293,23.57196261682243,22.0,45.0,50.0,33.0,260.0,24.0,8.0,1.8,0.11,0.44,0.15,14.81
,P/BK/BK/06/C/2,638.0,7.9,8.5,352.0,6.1,305,23.57196261682243,25.0,48.0,52.0,36.0,280.0,24.0,9.0,1.9,0.12,0.38,0.17,15.38
Notak,P/BK/BK/07/S/1,458.0,7.84,5.7,253.0,4.14,207,23.57196261682243,18.0,43.0,52.0,17.0,200.0,14.0,6.0,0.4,0.02,0.19,0.02,12.84
,P/BK/BK/07/C/1,485.0,8.08,2.7,268.0,4.14,207,23.57196261682243,19.0,52.0,54.0,20.0,220.0,14.0,6.0,0.2,0.02,0.35,0.05,12.95
,P/BK/BK/07/C/2,499.0,8.07,2.2,297.0,4.88,244,23.57196261682243,20.0,54.0,60.0,22.0,240.0,14.0,6.0,0.3,0.03,0.32,0.07,11.93
,P/BK/BK/08/C/1,709.0,8.07,11.0,425.0,3.9,195,23.57196261682243,36.0,149.0,56.0,31.0,270.0,32.0,24.0,0.2,0.03,0.58,0.01,2.128
,P/BK/BK/08/C/2,725.0,7.86,15.0,431.0,3.9,195,23.57196261682243,35.0,151.0,56.0,31.0,270.0,32.0,24.0,1.7,0.02,0.59,0.01,2.039
Kotla Jam,P/BK/BK/09/S/1,519.0,8.07,21.0,311.0,3.16,158,23.57196261682243,32.0,96.0,40.0,22.0,190.0,38.0,4.0,0.2,0.06,0.27,0.31,24.89
,P/BK/BK/09/C/1,558.0,8.5,199.0,330.0,3.24,152,23.57196261682243,31.0,106.0,42.0,23.0,200.0,38.0,4.0,0.4,0.07,0.567130926954293,0.36,39.66
,P/BK/BK/09/C/2,562.0,8.15,45.0,332.0,3.16,158,23.57196261682243,31.0,115.0,44.0,22.0,200.0,37.0,4.0,0.2,0.08,0.33,0.42,25.3
Noushera,C/Att/Pig/112/S/1,589.0,7.7,0.04,353.0,5.0,250,23.57196261682243,26.0,24.0,32.0,22.0,170.0,67.0,1.0,1.3,0.19,0.52,0.05,1.222
,C/Att/Pig/112/C/1,590.0,7.64,0.09,354.0,5.0,250,23.57196261682243,26.0,24.0,32.0,22.0,170.0,70.0,1.0,1.0,0.22,0.53,0.07,1.567
,C/Att/Pig/112/C/2,595.0,7.8,0.01,357.0,5.0,250,23.57196261682243,26.0,22.0,36.0,21.0,175.0,70.0,1.0,1.0,0.21,0.52,0.09,1.157
Jangla,C/Att/Pig/113/S/1,630.0,7.59,0.01,378.0,4.0,200,23.57196261682243,45.0,28.0,44.0,29.0,230.0,50.0,0.8,5.0,0.17,0.17,0.11,11.93
,C/Att/Pig/113/C/1,637.0,7.65,0.38,382.0,4.2,210,23.57196261682243,45.0,22.0,44.0,29.0,230.0,49.0,0.6,5.0,0.19,0.18,0.09,13.57
Gharda Kack,C/Att/Pig/114/S/1,730.0,7.81,3.91,438.0,5.2,260,23.57196261682243,46.0,30.0,56.0,18.0,215.0,71.0,1.0,3.0,0.09,0.16,0.12,1.07
,C/Att/Pig/114/C/1,740.0,7.5,2.48,444.0,5.5,275,23.57196261682243,48.0,27.0,58.0,21.0,230.0,71.0,1.0,3.0,0.17,0.17,0.09,2.8
,C/Att/Pig/114/C/2,725.0,8.42,2.01,435.0,5.2,260,23.57196261682243,46.0,29.0,58.0,21.0,230.0,71.0,1.0,3.0,0.13,0.18,0.08,4.39
Malanwala,C/Att/Pig/115/S/1,1220.0,7.4,4.3,732.0,4.0,200,23.57196261682243,180.0,140.0,64.0,15.0,220.0,177.0,0.9,2.0,0.14,0.18,0.1,3.188
