Water_Supply_Scheme,Sample_Code,EC,pH,Turbidity,TDS,Alkalinity,HCO3,CO3,Cl,SO4,Ca,Mg,Hardness,Na,K,NO3_N,PO_{4},F,Fe,As
,P/CHA/CHA/49/C/1,755.0,8.21,2.65,32.0,5.3,265,23.57196261682243,39.0,46.0,32.0,15.0,140.0,110.0,3.4,6.0,0.07,0.21,0.02,0.46
,P/CHA/CHA/49/C/2,760.0,8.16,2.19,32.0,5.4,270,23.57196261682243,42.0,23.0,32.0,10.0,120.0,116.0,4.2,5.0,0.09,0.21,0.15,0.38
"Dhoke Must
Khan",P/CHA/CHA/50/S/1,1660.0,7.8,0.76,60.0,8.2,410,23.57196261682243,210.0,148.0,60.0,34.0,390.0,260.0,3.4,2.0,0.1,0.37,0.51,0.38
,P/CHA/CHA/50/C/1,1716.0,7.99,1.12,1030.0,8.0,400,23.57196261682243,209.0,1.76,60.0,34.0,290.0,260.0,5.0,3.0,0.09,0.35,0.28,0.11
,P/CHA/CHA/50/C/2,1679.0,8.16,0.98,1007.0,8.4,420,23.57196261682243,209.0,154.0,60.0,34.0,290.0,265.0,4.2,2.0,0.06,0.36,0.01,0.09
Sarkal Mair,P/CHA/CHA/51/S/1,759.0,8.03,0.02,417.0,5.6,280,23.57196261682243,38.0,40.0,28.0,12.0,120.0,125.0,3.0,3.0,0.07,0.19,0.03,0.75
,P/CHA/CHA/51/C/1,750.0,8.14,0.21,412.0,5.7,285,23.57196261682243,38.0,37.0,24.0,12.0,110.0,125.0,3.2,3.0,0.1,0.21,0.04,0.59
Khan Pur,P/CHA/CHA/52/S/1,1802.0,7.76,2.34,1081.0,5.1,255,23.57196261682243,348.0,97.0,80.0,61.0,450.0,230.0,2.6,2.0,0.07,0.32,0.05,0.75
,P/CHA/CHA/52/S/2,1010.0,7.73,1.11,606.0,5.7,285,23.57196261682243,130.0,70.0,44.0,32.0,240.0,140.0,2.6,4.567280442804428,0.06,0.4,0.03,0.06
,P/CHA/CHA/52/C/1,1733.0,7.89,0.23,1040.0,6.6,330,23.57196261682243,327.0,97.0,80.0,53.0,420.0,223.0,2.4,8.0,0.04,0.33,0.05,0.09
,P/CHA/CHA/52/C/2,1754.0,7.78,1.23,1052.0,6.4,320,23.57196261682243,320.0,100.0,86.0,49.0,415.0,221.0,2.8,22.0,0.07,0.32,0.02,0.26
